track_id,track_name,artists,year,years_active
2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,"[2022, 2024]",2
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,"[2022, 2025]",2
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,"[2022, 2025]",2
3G47RiG2PrvEVo4panDHi9,Be Gone Thot!,LIL MAYO,"[2019, 2020]",2
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,"[2019, 2020]",2
01A9Xt0XyeYIzC9K7MSvua,ICEWHORE! - slowed,Lumi Athena,[2024],1
5Gj9GytUHWNH3yN8r4Jn0r,Tell Me Why,"Braaheim, Now O Later",[2025],1
5ArQzSBevAdXTxRY6Ulhbq,Mama Said,Lukas Graham,[2020],1
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,[2019],1
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,[2022],1
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,[2025],1
5HVlfkBAzYwrtXMgxJQdxO,Häschenparty,Schnuffel,[2023],1
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",[2021],1
5NaV8CwvM9K5RerxT9tbDS,Saying No,banditism.,[2022],1
5JdLUE9D743ob2RtgmVpVx,Makeba,Jain,[2023],1
5K2onWVFDevmZ5y9AgiEcr,Fluxxwave,Clovis Reyes,[2024],1
5K3SJuYEkvvrLbzOjPyRi1,BABYDOLL (Speed),Ari Abdul,[2024],1
5KBARWIxeMGkvUax9VtVC9,My Type,Saweetie,[2019],1
5ACZOGjT6I5He0pDZED56Z,Wannabe,why mona,[2019],1
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",[2025],1
59CfNbkERJ3NoTXDvoURjj,Boyfriend,Dove Cameron,[2022],1
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,"Kina, Adriana Proenza",[2020],1
51Fjme0JiitpyXKuyQiCDo,Lalala,"Y2K, bbno$",[2019],1
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,[2025],1
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake",[2021],1
527k23H0A4Q0UJN3vGs0Da,After Party,Don Toliver,[2020],1
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,[2025],1
53jnnqFSRGMDB9ADrNriCA,Bloody Mary,Lady Gaga,[2022],1
53yWQ1FObrwPlVYCZdR6es,Liar,BigKlit,[2019],1
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",[2025],1
54IHyBqqUjslbwtkSGVo4Z,Doggy Doggy,"El Alfa, Braulio Fogon",[2023],1
54KFQB6N4pn926IUUYZGzK,To Build A Home,"The Cinematic Orchestra, Patrick Watson",[2020],1
55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,[2020],1
5619Ojc6t9evEEs3B7Drhe,Shake It,Metro Station,[2019],1
56JyMaElW79S7TDWh1Zw1m,On A Roll,Ashley O,[2019],1
56YnSY2VyWLJPijfrzK6Gc,die (sped up),"lucidbeatz, Key Kelly",[2024],1
58IHCvoCPfMNS0WrK7JnSg,Gm Say It Back,Killua the Pilgrim,[2019],1
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,[2025],1
5QTbSuoVxRZLch1FkUFaIz,ALL IN,ZaeHD & CEO,[2019],1
5NxjQuevCs0kaOk2IQ3eQk,VVV,"mikeeysmind, Sanikwave",[2024],1
5jEIlegYiGiiKK7ZcyTCaF,SEQUÊNCIA ILUMINANTE,"Y1LIAS, RXPOSO99, DJ FLG",[2024],1
5dW1VZPcFqB4n0P08rGDgm,The Git Up,Blanco Brown,[2019],1
5dvI2ra5dWOV8dAxFgygfE,Bad Hair Day - Sped Up,John Phillips,[2023],1
5fO4ybFbomoSWPB3n2d6pe,Hell Shell,Young Nudy,[2021],1
5fgCbq28X3HE5J6MTnH1rg,Monkey,Wooden Empire,[2025],1
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,"The Weeknd, Lana Del Rey",[2022],1
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,[2019],1
5k5fWendNngd89O8JKoE8L,Better When I'm Dancin',Meghan Trainor,[2020],1
5OxveXfvga2t0se21d96Ow,Bored In The House,"Tyga, Curtis Roach",[2020],1
5k9CZnMvbTryKroi1tkp2S,Who R U,Jufu,[2019],1
5kBM9TCM8EWiqUcZXiUbIF,Pumpkins scream in the dead of night,"Savage Ga$p, 93FEETOFSMOKE, shinigami",[2019],1
5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,Doja Cat,[2021],1
5lN7UtvhpwEHzifSjKw3z2,Woah (feat. D3Mstreet),"KRYPTO9095, D3Mstreet",[2019],1
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,[2025],1
5nk6BxN9bM5rLNkA3pMOzn,Tweaker,G3 GELO,[2025],1
5dPy1CCYQ04xaQHpajf5CY,The Lost Soul Down,NBSPLV,[2024],1
5caZgotE4D6elZpd5S4wlX,Clap For 'Em (feat. Flo Milli & Sada Baby),"YungManny, Flo Milli, Sada Baby",[2021],1
5b7OgznPJJr1vHNYGyvxau,Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",[2019],1
5aBfiBLoIznSLQoPZMoPUJ,If We Ever Broke Up - Sped Up,"Mae Stephens, Speed Radio, xxtristanxo",[2023],1
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,[2025],1
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,[2025],1
5Y6nVaayzitvsD5F7nr3DV,West Coast,Lana Del Rey,[2022],1
5XtsfMFmpM401S6dbVaOQw,The Lost Soul Down - Slowed & Reverb,NBSPLV,[2024],1
5WviChm62XtV6gqVElQ0qA,Booted Up,Randy Savvy,[2025],1
5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,Rihanna,[2021],1
5UXJzLFdBn6u9FJTCnoHrH,Memories,Conan Gray,[2022],1
5SU2L9BQQ381CKKv5DXYEA,after dark x sweater weather,"daddy's girl, creamy, 11:11 Music Group",[2022],1
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,[2025],1
5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,Mareux,[2024],1
5R8dQOPq8haW94K7mgERlO,Poker Face,Lady Gaga,[2024],1
5QmdK8QFbY8TLVKPuJzexD,Dark Beach,Pastel Ghost,[2024],1
4yhzZ9ESp4UwnJqImyMR3A,Mary On A Cross - slowed + reverb,Ghost,[2022],1
50p9gmJMwsz3zyAwoF0FEv,Make It Rain,Travis Porter,[2021],1
4xF4ZBGPZKxECeDFrqSAG4,snowfall,"Øneheart, reidenshi",[2024],1
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,[2025],1
4Hpib09wXgD84w4uwTPnYD,Tap In,Saweetie,[2021],1
4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,[2020],1
4EH7FSTBgY669KBqfOwQjD,Way Back,Max Wassen,[2025],1
4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",[2020],1
4FxQ2F23uO8g2krZRHv6gy,I Wanna Be Yours - Sped Up,Lexz,[2022],1
4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,[2022],1
4GT3R9aMnSspIzuEcWDCpD,CRACKHEAD,iLOVEFRiDAY,[2019],1
4It00tEYLwpjQtAhqnjCPC,Beez In The Trap,"Nicki Minaj, 2 Chainz",[2021],1
